iter	Passed	Remaining
740	36960	62798
741	37019	62763
742	37069	62714
743	37134	62688
744	37191	62651
745	37248	62614
746	37307	62578
747	37360	62533
748	37406	62476
749	37455	62426
750	37514	62390
751	37561	62336
752	37609	62283
753	37666	62244
754	37721	62203
755	37775	62159
756	37830	62118
757	37882	62070
758	37935	62025
759	37981	61970
760	38041	61935
761	38094	61891
762	38143	61839
763	38189	61782
764	38242	61737
765	38299	61699
766	38357	61661
767	38409	61615
768	38471	61584
769	38531	61550
770	38578	61494
771	38629	61447
772	38687	61409
773	38741	61365
774	38788	61311
775	38847	61274
776	38905	61236
777	38958	61192
778	39020	61160
779	39087	61136
780	39136	61085
781	39185	61033
782	39235	60982
783	39279	60923
784	39326	60868
785	39382	60826
786	39433	60777
787	39486	60733
788	39542	60691
789	39628	60696
790	39718	60708
791	39770	60659
792	39826	60619
793	39888	60586
794	39943	60543
795	40030	60548
796	40085	60505
797	40142	60465
798	40206	60436
799	40258	60387
800	40321	60356
801	40378	60315
802	40435	60275
803	40487	60227
804	40536	60174
805	40589	60128
806	40651	60095
807	40709	60057
808	40757	60003
809	40851	60015
810	40902	59966
811	40955	59919
812	41007	59871
813	41058	59822
814	41115	59781
815	41163	59726
816	41212	59675
817	41266	59630
818	41320	59583
819	41366	59526
820	41414	59473
821	41471	59432
822	41525	59387
823	41585	59349
824	41641	59307
825	41705	59276
826	41756	59226
827	41813	59185
828	41882	59160
829	41937	59116
830	41992	59072
831	42052	59035
832	42110	58994
833	42167	58953
834	42212	58895
835	42260	58840
836	42312	58792
837	42369	58751
838	42422	58704
839	42473	58654
840	42521	58599
841	42572	58549
842	42636	58517
843	42684	58464
844	42737	58416
845	42795	58375
846	42839	58316
847	42886	58260
848	42936	58209
849	42981	58151
850	43026	58093
851	43083	58051
852	43136	58004
853	43182	57947
854	43248	57918
855	43320	57895
856	43381	57859
857	43431	57807
858	43492	57770
859	43550	57729
860	43602	57680
861	43659	57638
862	43715	57595
863	43764	57542
864	43814	57490
865	43860	57433
866	43912	57385
867	43961	57332
868	44011	57280
