Chrom.1,,Chrom.1,,Chrom.1,,
UV,,Conductivity,,Gradient Concentration,,
ml,mAU,ml,mS/cm,ml,%B,
0.573,0.53,0.573,35.96,0.573,0,
0.577,0.5305859,0.577,35.96,0.577,0,
0.58,0.5406695,0.58,35.96,0.58,0,
0.583,0.55,0.583,35.96,0.583,0,
0.587,0.55,0.587,35.9594,0.587,0,
0.59,0.5506778,0.59,35.95,0.59,0,
0.593,0.56,0.593,35.95,0.593,0,
0.597,0.56,0.597,35.95,0.597,0,
0.6,0.56,0.6,35.95,0.6,0,
0.603,0.5605075,0.603,35.94949,0.603,0,
0.607,0.5706114,0.607,35.94,0.607,0,
0.61,0.58,0.61,35.94,0.61,0,
0.613,0.58,0.613,35.93948,0.613,0,
0.617,0.5806199,0.617,35.93,0.617,0,
0.62,0.59,0.62,35.93,0.62,0,
0.623,0.59,0.623,35.93052,0.623,0,
0.627,0.59,0.627,35.93937,0.627,0,
0.63,0.5907106,0.63,35.93,0.63,0,
0.633,0.6,0.633,35.93,0.633,0,
0.637,0.6,0.637,35.93,0.637,0,
0.64,0.6007188,0.64,35.92928,0.64,0,
0.643,0.61,0.643,35.92,0.643,0,
0.647,0.6106452,0.647,35.92,0.647,0,
0.65,0.62,0.65,35.92,0.65,0,
0.653,0.62,0.653,35.92,0.653,0,
0.657,0.6206537,0.657,35.92,0.657,0,
0.66,0.63,0.66,35.92,0.66,0,
0.663,0.63,0.663,35.91944,0.663,0,
0.667,0.6306621,0.667,35.91,0.667,0,
0.67,0.6407434,0.67,35.91,0.67,0,
0.673,0.65,0.673,35.91,0.673,0,
0.677,0.65,0.677,35.91,0.677,0,
0.68,0.6507517,0.68,35.90925,0.68,0,
0.683,0.66,0.683,35.9,0.683,0,
0.687,0.66,0.687,35.9,0.687,0,
0.69,0.66,0.69,35.9,0.69,0,
0.693,0.66,0.693,35.9,0.693,0,
0.697,0.6606874,0.697,35.9,0.697,0,
0.7,0.67,0.7,35.9,0.7,0,
0.703,0.67,0.703,35.89941,0.703,0,
0.707,0.670696,0.707,35.89,0.707,0,
0.71,0.68,0.71,35.89,0.71,0,
0.713,0.68,0.713,35.89,0.713,0,
0.717,0.68,0.717,35.89,0.717,0,
0.72,0.6807845,0.72,35.89,0.72,0,
0.724,0.689391,0.724,35.89,0.724,0,
0.727,0.68,0.727,35.88929,0.727,0,
0.73,0.68,0.73,35.87921,0.73,0,
0.734,0.6806176,0.734,35.87,0.734,0,
0.737,0.69,0.737,35.87,0.737,0,
0.74,0.69,0.74,35.8708,0.74,0,
0.744,0.69,0.744,35.87938,0.744,0,
0.747,0.6907299,0.747,35.87,0.747,0,
0.75,0.7,0.75,35.87,0.75,0,
0.754,0.7,0.754,35.86937,0.754,0,
0.757,0.7007382,0.757,35.86,0.757,0,
0.76,0.71,0.76,35.86,0.76,0,
0.764,0.71,0.764,35.86,0.764,0,
0.767,0.71,0.767,35.86,0.767,0,
0.77,0.71,0.77,35.86,0.77,0,
0.774,0.7106513,0.774,35.86,0.774,0,
0.777,0.72,0.777,35.86,0.777,0,
0.78,0.72,0.78,35.85917,0.78,0,
0.784,0.72,0.784,35.85,0.784,0,
0.787,0.72,0.787,35.85,0.787,0,
0.79,0.72,0.79,35.85,0.79,0,
0.794,0.72,0.794,35.85,0.794,0,
0.797,0.72,0.797,35.84923,0.797,0,
0.8,0.72,0.8,35.84,0.8,0,
0.804,0.72,0.804,35.84,0.804,0,
0.807,0.72,0.807,35.84,0.807,0,
0.81,0.721717,0.81,35.84,0.81,0,
0.814,0.74,0.814,35.84,0.814,0,
0.817,0.74,0.817,35.84,0.817,0,
0.82,0.7408667,0.82,35.83913,0.82,0,
0.824,0.7506936,0.824,35.83,0.824,0,
0.827,0.76,0.827,35.83,0.827,0,
0.83,0.76,0.83,35.82913,0.83,0,
0.834,0.7607021,0.834,35.82,0.834,0,
0.837,0.77,0.837,35.82,0.837,0,
0.84,0.77,0.84,35.82,0.84,0,
0.844,0.77,0.844,35.82,0.844,0,
0.847,0.77,0.847,35.82,0.847,0,
0.85,0.77,0.85,35.82,0.85,0,
0.854,0.77,0.854,35.82,0.854,0,
0.857,0.77,0.857,35.81918,0.857,0,
0.86,0.7708993,0.86,35.81,0.86,0,
0.864,0.78,0.864,35.81,0.864,0,
0.867,0.78,0.867,35.81,0.867,0,
0.87,0.78,0.87,35.81,0.87,0,
0.874,0.78,0.874,35.81,0.874,0,
0.877,0.78,0.877,35.81,0.877,0,
0.88,0.78,0.88,35.81,0.88,0,
0.884,0.78,0.884,35.81,0.884,0,
0.887,0.78,0.887,35.81,0.887,0,
0.89,0.78,0.89,35.81,0.89,0,
0.894,0.78,0.894,35.81,0.894,0,
0.897,0.78,0.897,35.81,0.897,0,
0.9,0.78,0.9,35.81,0.9,0,
0.904,0.78,0.904,35.81,0.904,0,
0.907,0.78,0.907,35.81,0.907,0,
0.91,0.7809404,0.91,35.81,0.91,0,
0.914,0.79,0.914,35.81,0.914,0,
0.917,0.79,0.917,35.81,0.917,0,
0.92,0.79,0.92,35.81,0.92,0,
0.924,0.79,0.924,35.81,0.924,0,
0.927,0.79,0.927,35.81,0.927,0,
0.93,0.79,0.93,35.81,0.93,0,
0.934,0.79,0.934,35.81,0.934,0,
0.937,0.79,0.937,35.81,0.937,0,
0.94,0.7909651,0.94,35.81,0.94,0,
0.944,0.8,0.944,35.81,0.944,0,
0.947,0.8,0.947,35.81,0.947,0,
0.95,0.8009733,0.95,35.81,0.95,0,
0.954,0.81,0.954,35.81,0.954,0,
0.957,0.81,0.957,35.81091,0.957,0,
0.96,0.81,0.96,35.81902,0.96,0,
0.964,0.81,0.964,35.81,0.964,0,
0.967,0.8090841,0.967,35.81,0.967,0,
0.97,0.8,0.97,35.81,0.97,0,
0.974,0.8008206,0.974,35.81,0.974,0,
0.977,0.81,0.977,35.81,0.977,0,
0.98,0.81,0.98,35.81,0.98,0,
0.984,0.81,0.984,35.81083,0.984,0,
0.987,0.81,0.987,35.82,0.987,0,
0.99,0.81,0.99,35.82,0.99,0,
0.994,0.81,0.994,35.82,0.994,0,
0.997,0.81,0.997,35.82,0.997,0,
1,0.8110144,1,35.82,1,0,
1.004,0.82,1.004,35.82,1.004,0,
1.007,0.82,1.007,35.82,1.007,0,
1.01,0.82,1.01,35.82,1.01,0,
1.014,0.82,1.014,35.82,1.014,0,
1.017,0.82,1.017,35.82,1.017,0,
1.02,0.82,1.02,35.82,1.02,0,
1.024,0.82,1.024,35.82,1.024,0,
1.027,0.8190333,1.027,35.82,1.027,0,
1.03,0.8089608,1.03,35.82,1.03,0,
1.034,0.8,1.034,35.82,1.034,0,
1.037,0.8,1.037,35.82,1.037,0,
1.04,0.7989528,1.04,35.82,1.04,0,
1.044,0.7891204,1.044,35.82,1.044,0,
1.047,0.78,1.047,35.82,1.047,0,
1.05,0.78,1.05,35.82,1.05,0,
1.054,0.7808879,1.054,35.82,1.054,0,
1.057,0.79,1.057,35.82,1.057,0,
1.06,0.79,1.06,35.82,1.06,0,
1.064,0.79,1.064,35.82,1.064,0,
1.067,0.79,1.067,35.82,1.067,0,
1.07,0.79,1.07,35.82,1.07,0,
1.074,0.79,1.074,35.82,1.074,0,
1.077,0.79,1.077,35.82,1.077,0,
1.08,0.79,1.08,35.82,1.08,0,
1.084,0.7909136,1.084,35.82,1.084,0,
1.087,0.8,1.087,35.82,1.087,0,
1.09,0.8,1.09,35.82,1.09,0,
1.094,0.8,1.094,35.82,1.094,0,
1.097,0.8,1.097,35.82,1.097,0,
1.1,0.8,1.1,35.82,1.1,0,
1.104,0.8009306,1.104,35.82,1.104,0,
1.107,0.81,1.107,35.82,1.107,0,
1.11,0.81,1.11,35.82,1.11,0,
1.114,0.81,1.114,35.82,1.114,0,
1.117,0.8110425,1.117,35.82,1.117,0,
1.12,0.8188871,1.12,35.82,1.12,0,
1.124,0.81,1.124,35.82,1.124,0,
1.127,0.81,1.127,35.82,1.127,0,
1.13,0.81,1.13,35.82,1.13,0,
1.134,0.81,1.134,35.82,1.134,0,
1.137,0.81,1.137,35.82,1.137,0,
1.14,0.81,1.14,35.82,1.14,0,
1.144,0.8109642,1.144,35.82,1.144,0,
1.147,0.82,1.147,35.82,1.147,0,
1.15,0.82,1.15,35.82,1.15,0,
1.154,0.82,1.154,35.82,1.154,0,
1.157,0.82,1.157,35.82,1.157,0,
1.16,0.82,1.16,35.82,1.16,0,
1.164,0.82,1.164,35.82,1.164,0,
1.167,0.82,1.167,35.82,1.167,0,
1.17,0.8188458,1.17,35.82,1.17,0,
1.174,0.81,1.174,35.82,1.174,0,
1.177,0.81,1.177,35.82,1.177,0,
1.18,0.81,1.18,35.82,1.18,0,
1.184,0.81,1.184,35.82,1.184,0,
1.187,0.81,1.187,35.82,1.187,0,
1.19,0.81,1.19,35.82,1.19,0,
1.194,0.8110064,1.194,35.82,1.194,0,
1.197,0.8188896,1.197,35.82,1.197,0,
1.2,0.81,1.2,35.82,1.2,0,
1.204,0.81,1.204,35.82,1.204,0,
1.207,0.8111191,1.207,35.82,1.207,0,
1.21,0.8188131,1.21,35.82,1.21,0,
1.214,0.81,1.214,35.82,1.214,0,
1.217,0.81,1.217,35.82,1.217,0,
1.22,0.8111949,1.22,35.82,1.22,0,
1.224,0.82,1.224,35.82,1.224,0,
1.227,0.82,1.227,35.82,1.227,0,
1.23,0.82,1.23,35.82,1.23,0,
1.234,0.8210403,1.234,35.82,1.234,0,
1.237,0.83,1.237,35.82,1.237,0,
1.24,0.83,1.24,35.82,1.24,0,
1.244,0.831049,1.244,35.82,1.244,0,
1.247,0.84,1.247,35.82,1.247,0,
1.25,0.84,1.25,35.82,1.25,0,
1.254,0.84,1.254,35.82,1.254,0,
1.257,0.841161,1.257,35.82,1.257,0,
1.26,0.8512279,1.26,35.82,1.26,0,
1.264,0.86,1.264,35.82,1.264,0,
1.267,0.86,1.267,35.82,1.267,0,
1.27,0.86,1.27,35.82,1.27,0,
1.274,0.86,1.274,35.82,1.274,0,
1.277,0.86,1.277,35.82,1.277,0,
1.28,0.86,1.28,35.82,1.28,0,
1.284,0.8610827,1.284,35.82,1.284,0,
1.287,0.87,1.287,35.82,1.287,0,
1.29,0.87,1.29,35.82,1.29,0,
1.294,0.87,1.294,35.82,1.294,0,
1.297,0.8688051,1.297,35.82,1.297,0,
1.3,0.86,1.3,35.82,1.3,0,
1.304,0.86,1.304,35.82,1.304,0,
1.307,0.86,1.307,35.82,1.307,0,
1.31,0.86,1.31,35.82,1.31,0,
1.314,0.86,1.314,35.82,1.314,0,
1.317,0.86,1.317,35.82,1.317,0,
1.32,0.86,1.32,35.82,1.32,0,
1.324,0.86,1.324,35.82,1.324,0,
1.327,0.86,1.327,35.82,1.327,0,
1.33,0.86,1.33,35.82,1.33,0,
1.334,0.86,1.334,35.82,1.334,0,
1.337,0.86,1.337,35.82,1.337,0,
1.34,0.86,1.34,35.82,1.34,0,
1.344,0.86,1.344,35.82,1.344,0,
1.347,0.86,1.347,35.82,1.347,0,
1.35,0.86,1.35,35.82,1.35,0,
1.354,0.86,1.354,35.82,1.354,0,
1.357,0.86,1.357,35.82,1.357,0,
1.36,0.86,1.36,35.82,1.36,0,
1.364,0.8588495,1.364,35.82,1.364,0,
1.367,0.85,1.367,35.82,1.367,0,
1.37,0.85,1.37,35.82,1.37,0,
1.374,0.85,1.374,35.82,1.374,0,
1.377,0.8512626,1.377,35.82,1.377,0,
1.38,0.86,1.38,35.82,1.38,0,
1.384,0.86,1.384,35.82,1.384,0,
1.387,0.86,1.387,35.82,1.387,0,
1.39,0.86,1.39,35.82,1.39,0,
1.394,0.86,1.394,35.82,1.394,0,
1.397,0.86,1.397,35.82,1.397,0,
1.4,0.86,1.4,35.82,1.4,0,
1.404,0.8588158,1.404,35.82,1.404,0,
1.407,0.85,1.407,35.82,1.407,0,
1.41,0.85,1.41,35.82,1.41,0,
1.414,0.85,1.414,35.82,1.414,0,
1.417,0.85,1.417,35.82,1.417,0,
1.42,0.85,1.42,35.82,1.42,0,
1.424,0.85,1.424,35.82,1.424,0,
1.427,0.85,1.427,35.82,1.427,0,
1.43,0.85,1.43,35.82,1.43,0,
1.434,0.85,1.434,35.82,1.434,0,
1.437,0.8486866,1.437,35.81869,1.437,0,
1.44,0.8386245,1.44,35.81,1.44,0,
1.444,0.83,1.444,35.81,1.444,0,
1.447,0.83,1.447,35.81133,1.447,0,
1.45,0.83,1.45,35.81861,1.45,0,
1.454,0.8287736,1.454,35.81,1.454,0,
1.457,0.82,1.457,35.81,1.457,0,
1.46,0.82,1.46,35.81,1.46,0,
1.464,0.82,1.464,35.81,1.464,0,
1.467,0.8186609,1.467,35.81,1.467,0,
1.47,0.81,1.47,35.8114,1.47,0,
1.474,0.81,1.474,35.81876,1.474,0,
1.477,0.81,1.477,35.81,1.477,0,
1.48,0.81,1.48,35.81,1.48,0,
1.484,0.81,1.484,35.81,1.484,0,
1.487,0.81,1.487,35.81,1.487,0,
1.49,0.81,1.49,35.81,1.49,0,
1.494,0.8087397,1.494,35.81,1.494,0,
1.497,0.8,1.497,35.81137,1.497,0,
1.5,0.8,1.5,35.81858,1.5,0,
1.504,0.8,1.504,35.81,1.504,0,
1.507,0.8,1.507,35.81,1.507,0,
1.51,0.8,1.51,35.81144,1.51,0,
1.514,0.8,1.514,35.81872,1.514,0,
1.517,0.8,1.517,35.81,1.517,0,
1.52,0.8,1.52,35.81,1.52,0,
1.524,0.8,1.524,35.81129,1.524,0,
1.527,0.8,1.527,35.81861,1.527,0,
1.53,0.7985506,1.53,35.81,1.53,0,
1.534,0.79,1.534,35.81,1.534,0,
1.537,0.79,1.537,35.81,1.537,0,
1.54,0.79,1.54,35.81,1.54,0,
1.544,0.79,1.544,35.81,1.544,0,
1.547,0.79,1.547,35.81,1.547,0,
1.55,0.79,1.55,35.81,1.55,0,
1.554,0.79,1.554,35.81,1.554,0,
1.557,0.791415,1.557,35.81,1.557,0,
1.56,0.8,1.56,35.81147,1.56,0,
1.564,0.8,1.564,35.82,1.564,0,
1.567,0.8,1.567,35.81858,1.567,0,
1.57,0.8,1.57,35.81,1.57,0,
1.574,0.8,1.574,35.81133,1.574,0,
1.577,0.8,1.577,35.81857,1.577,0,
1.58,0.8014905,1.58,35.81,1.58,0,
1.584,0.81,1.584,35.81,1.584,0,
1.587,0.81,1.587,35.81144,1.587,0,
1.59,0.81,1.59,35.8185,1.59,0,
1.594,0.8086551,1.594,35.81,1.594,0,
1.597,0.8014486,1.597,35.81,1.597,0,
1.6,0.81,1.6,35.81,1.6,0,
1.604,0.81,1.604,35.81,1.604,0,
1.607,0.81,1.607,35.81,1.607,0,
1.61,0.81,1.61,35.81,1.61,0,
1.614,0.81,1.614,35.81,1.614,0,
1.617,0.8114656,1.617,35.81,1.617,0,
1.62,0.82,1.62,35.81,1.62,0,
1.624,0.82,1.624,35.81,1.624,0,
1.627,0.82,1.627,35.81147,1.627,0,
1.63,0.8215315,1.63,35.81847,1.63,0,
1.634,0.83,1.634,35.81,1.634,0,
1.637,0.83,1.637,35.81,1.637,0,
1.64,0.83,1.64,35.81154,1.64,0,
1.644,0.8313872,1.644,35.81861,1.644,0,
1.647,0.84,1.647,35.81,1.647,0,
1.65,0.84,1.65,35.81155,1.65,0,
1.654,0.84,1.654,35.8186,1.654,0,
1.657,0.8414995,1.657,35.81,1.657,0,
1.66,0.85,1.66,35.81,1.66,0,
1.664,0.85,1.664,35.81141,1.664,0,
1.667,0.85,1.667,35.81849,1.667,0,
1.67,0.85,1.67,35.81,1.67,0,
1.674,0.85,1.674,35.81,1.674,0,
1.677,0.85,1.677,35.81,1.677,0,
1.68,0.85,1.68,35.81,1.68,0,
1.684,0.85,1.684,35.81,1.684,0,
1.687,0.85,1.687,35.81,1.687,0,
1.69,0.85,1.69,35.81158,1.69,0,
1.694,0.85,1.694,35.81857,1.694,0,
1.697,0.85,1.697,35.81,1.697,0,
1.7,0.85,1.7,35.81,1.7,0,
1.704,0.85,1.704,35.81144,1.704,0,
1.707,0.85,1.707,35.81846,1.707,0,
1.71,0.85,1.71,35.81,1.71,0,
1.714,0.85,1.714,35.81,1.714,0,
1.717,0.85,1.717,35.81,1.717,0,
1.72,0.8516055,1.72,35.81,1.72,0,
1.724,0.86,1.724,35.81,1.724,0,
1.727,0.86,1.727,35.81156,1.727,0,
1.73,0.86,1.73,35.82,1.73,0,
1.734,0.8614634,1.734,35.82,1.734,0,
1.737,0.87,1.737,35.82,1.737,0,
1.74,0.87,1.74,35.82,1.74,0,
1.744,0.87,1.744,35.82,1.744,0,
1.747,0.8715758,1.747,35.82,1.747,0,
1.75,0.88163,1.75,35.82,1.75,0,
1.754,0.89,1.754,35.82,1.754,0,
1.757,0.89,1.757,35.81842,1.757,0,
1.76,0.89,1.76,35.81,1.76,0,
1.764,0.89,1.764,35.81,1.764,0,
1.767,0.89,1.767,35.81159,1.767,0,
1.77,0.89,1.77,35.82,1.77,0,
1.774,0.89,1.774,35.82,1.774,0,
1.777,0.89,1.777,35.82,1.777,0,
1.78,0.89,1.78,35.82,1.78,0,
1.784,0.89,1.784,35.82,1.784,0,
1.787,0.89,1.787,35.82,1.787,0,
1.79,0.89,1.79,35.82,1.79,0,
1.794,0.89,1.794,35.82,1.794,0,
1.797,0.89,1.797,35.82,1.797,0,
1.8,0.89,1.8,35.82,1.8,0,
1.804,0.89,1.804,35.82,1.804,0,
1.807,0.89,1.807,35.82,1.807,0,
1.81,0.8916791,1.81,35.82,1.81,0,
1.814,0.9015309,1.814,35.82,1.814,0,
1.817,0.91,1.817,35.82,1.817,0,
1.82,0.91,1.82,35.82,1.82,0,
1.824,0.91,1.824,35.82,1.824,0,
1.827,0.91,1.827,35.82,1.827,0,
1.83,0.91,1.83,35.82,1.83,0,
1.834,0.91,1.834,35.82,1.834,0,
