Chrom.1,,Chrom.1,,Chrom.1,,
UV,,Conductivity,,Gradient Concentration,,
ml,mAU,ml,mS/cm,ml,%B,
1.46,134.15,1.46,0,1.46,0,
1.464,134.15,1.464,0,1.464,0,
1.467,134.15,1.467,0,1.467,0,
1.47,134.1514,1.47,0,1.47,0,
1.474,134.16,1.474,0,1.474,0,
1.477,134.16,1.477,0,1.477,0,
1.48,134.1614,1.48,0,1.48,0,
1.484,134.1712,1.484,0,1.484,0,
1.487,134.18,1.487,0,1.487,0,
1.49,134.18,1.49,0,1.49,0,
1.494,134.18,1.494,0,1.494,0,
1.497,134.18,1.497,0,1.497,0,
1.5,134.18,1.5,0,1.5,0,
1.504,134.1812,1.504,0,1.504,0,
1.507,134.19,1.507,0,1.507,0,
1.51,134.19,1.51,0,1.51,0,
1.514,134.19,1.514,0,1.514,0,
1.517,134.19,1.517,0,1.517,0,
1.52,134.1914,1.52,0,1.52,0,
1.524,134.2,1.524,0,1.524,0,
1.527,134.2,1.527,0,1.527,0,
1.53,134.2,1.53,0,1.53,0,
1.534,134.2,1.534,0,1.534,0,
1.537,134.2,1.537,0,1.537,0,
1.54,134.2,1.54,0,1.54,0,
1.544,134.2,1.544,0,1.544,0,
1.547,134.2,1.547,0,1.547,0,
1.55,134.2,1.55,0,1.55,0,
1.554,134.2,1.554,0,1.554,0,
1.557,134.2014,1.557,0,1.557,0,
1.56,134.21,1.56,0,1.56,0,
1.564,134.21,1.564,0,1.564,0,
1.567,134.21,1.567,0,1.567,0,
1.57,134.2085,1.57,0,1.57,0,
1.574,134.2,1.574,0,1.574,0,
1.577,134.2,1.577,0,1.577,0,
1.58,134.2,1.58,0,1.58,0,
1.584,134.2,1.584,0,1.584,0,
1.587,134.2,1.587,0,1.587,0,
1.59,134.2,1.59,0,1.59,0,
1.594,134.1987,1.594,0,1.594,0,
1.597,134.19,1.597,0,1.597,0,
1.6,134.19,1.6,0,1.6,0,
1.604,134.19,1.604,0,1.604,0,
1.607,134.19,1.607,0,1.607,0,
1.61,134.1885,1.61,0,1.61,0,
1.614,134.18,1.614,0,1.614,0,
1.617,134.18,1.617,0,1.617,0,
1.62,134.1785,1.62,0,1.62,0,
1.624,134.1687,1.624,0,1.624,0,
1.627,134.16,1.627,0,1.627,0,
1.63,134.16,1.63,0,1.63,0,
1.634,134.1573,1.634,0,1.634,0,
1.637,134.14,1.637,0,1.637,0,
1.64,134.14,1.64,0,1.64,0,
1.644,134.14,1.644,0,1.644,0,
1.647,134.1385,1.647,0,1.647,0,
1.65,134.1285,1.65,0,1.65,0,
1.654,134.12,1.654,0,1.654,0,
1.657,134.1185,1.657,0,1.657,0,
1.66,134.11,1.66,0,1.66,0,
1.664,134.11,1.664,0,1.664,0,
1.667,134.11,1.667,0,1.667,0,
1.67,134.11,1.67,0,1.67,0,
1.674,134.1072,1.674,0,1.674,0,
1.677,134.09,1.677,0,1.677,0,
1.68,134.09,1.68,0,1.68,0,
1.684,134.0886,1.684,0,1.684,0,
1.687,134.0785,1.687,0,1.687,0,
1.69,134.07,1.69,0,1.69,0,
1.694,134.07,1.694,0,1.694,0,
1.697,134.0685,1.697,0,1.697,0,
1.7,134.0584,1.7,0,1.7,0,
1.704,134.05,1.704,0,1.704,0,
1.707,134.05,1.707,0,1.707,0,
1.71,134.05,1.71,0,1.71,0,
1.714,134.0486,1.714,0,1.714,0,
1.717,134.04,1.717,0,1.717,0,
1.72,134.04,1.72,0,1.72,0,
1.724,134.0386,1.724,0,1.724,0,
1.727,134.03,1.727,0,1.727,0,
1.73,134.03,1.73,0,1.73,0,
1.734,134.0286,1.734,0,1.734,0,
1.737,134.0185,1.737,0,1.737,0,
1.74,134.01,1.74,0,1.74,0,
1.744,134.01,1.744,0,1.744,0,
1.747,134.0084,1.747,0,1.747,0,
1.75,133.9984,1.75,0,1.75,0,
1.754,133.99,1.754,0,1.754,0,
1.757,133.99,1.757,0,1.757,0,
1.76,133.9884,1.76,0,1.76,0,
1.764,133.9785,1.764,0,1.764,0,
1.767,133.97,1.767,0,1.767,0,
1.77,133.97,1.77,0,1.77,0,
1.774,133.9685,1.774,0,1.774,0,
1.777,133.9584,1.777,0,1.777,0,
1.78,133.95,1.78,0,1.78,0,
1.784,133.95,1.784,0,1.784,0,
1.787,133.95,1.787,0,1.787,0,
1.79,133.95,1.79,0,1.79,0,
1.794,133.95,1.794,0,1.794,0,
1.797,133.95,1.797,0,1.797,0,
1.8,133.9483,1.8,0,1.8,0,
1.804,133.9385,1.804,0,1.804,0,
1.807,133.93,1.807,0,1.807,0,
1.81,133.93,1.81,0,1.81,0,
1.814,133.93,1.814,0,1.814,0,
1.817,133.93,1.817,0,1.817,0,
1.82,133.93,1.82,0,1.82,0,
1.824,133.9285,1.824,0,1.824,0,
1.827,133.92,1.827,0,1.827,0,
1.83,133.92,1.83,0,1.83,0,
1.834,133.92,1.834,0,1.834,0,
1.837,133.9184,1.837,0,1.837,0,
1.84,133.91,1.84,0,1.84,0,
1.844,133.91,1.844,0,1.844,0,
1.847,133.91,1.847,0,1.847,0,
1.85,133.9117,1.85,0,1.85,0,
1.854,133.9185,1.854,0,1.854,0,
1.857,133.91,1.857,0,1.857,0,
1.86,133.91,1.86,0,1.86,0,
1.864,133.9084,1.864,0,1.864,0,
1.867,133.9017,1.867,0,1.867,0,
1.87,133.91,1.87,0,1.87,0,
1.874,133.91,1.874,0,1.874,0,
1.877,133.9083,1.877,0,1.877,0,
1.88,133.8983,1.88,0,1.88,0,
1.884,133.89,1.884,0,1.884,0,
1.887,133.89,1.887,0,1.887,0,
1.89,133.89,1.89,0,1.89,0,
1.894,133.89,1.894,0,1.894,0,
1.897,133.89,1.897,0,1.897,0,
1.9,133.89,1.9,0,1.9,0,
1.904,133.8884,1.904,0,1.904,0,
1.907,133.88,1.907,0,1.907,0,
1.91,133.88,1.91,0,1.91,0,
1.914,133.8784,1.914,0,1.914,0,
1.917,133.87,1.917,0,1.917,0,
1.92,133.87,1.92,0,1.92,0,
1.924,133.87,1.924,0,1.924,0,
