date,open,high,low,close,volume,money
2006-03-10,169.72,171.35,167.81,168.36,387479.0,65528285.0
2006-03-13,168.9,171.35,168.08,170.81,318791.0,54041056.0
2006-03-14,170.53,170.81,168.08,168.9,272873.0,46088059.0
2006-03-15,168.9,171.08,168.9,171.08,219889.0,37442960.0
2006-03-16,171.08,173.53,170.26,171.35,280887.0,48290274.0
2006-03-17,171.35,171.9,168.9,168.9,218330.0,37054921.0
2006-03-20,168.9,171.62,167.54,171.08,247479.0,42004177.0
2006-03-21,171.08,174.89,169.72,172.99,597156.0,103448861.0
2006-03-22,173.26,174.62,171.9,172.99,268264.0,46371830.0
2006-03-23,172.99,175.44,172.99,174.35,339040.0,59044927.0
2006-03-24,174.35,174.89,171.9,171.9,263055.0,45433050.0
2006-03-27,171.9,173.26,168.63,172.99,325854.0,55648503.0
2006-03-28,172.99,174.62,172.17,174.08,337536.0,58630460.0
2006-03-29,174.35,179.25,174.08,177.07,698912.0,123464524.0
2006-03-30,176.8,178.16,171.9,173.53,474237.0,82853546.0
2006-03-31,171.62,176.26,170.53,173.53,380473.0,65720499.0
2006-04-03,172.17,176.26,171.08,174.62,462443.0,80419640.0
2006-04-04,174.62,180.61,173.53,178.98,738722.0,131220018.0
2006-04-05,178.98,181.43,177.35,179.8,707003.0,127274685.0
2006-04-06,180.61,182.25,176.8,177.62,653569.0,116712610.0
2006-04-07,177.62,178.71,174.62,176.26,439138.0,77509179.0
2006-04-10,176.53,183.88,176.53,183.61,735590.0,133943983.0
2006-04-11,183.61,191.51,181.7,188.51,1145747.0,213419304.0
2006-04-12,188.51,188.79,183.07,183.61,588138.0,109360605.0
2006-04-13,182.79,186.34,179.8,180.34,561526.0,102462716.0
2006-04-14,180.07,186.88,179.25,186.61,514824.0,94447255.0
2006-04-17,186.61,188.24,183.88,185.79,489771.0,91209827.0
2006-04-18,185.79,187.42,183.07,183.61,401259.0,73985970.0
2006-04-19,184.16,190.42,181.43,187.42,812595.0,151203964.0
2006-04-20,187.15,189.33,183.88,184.97,513182.0,95454391.0
2006-04-21,184.97,187.7,182.79,186.34,641633.0,119113823.0
2006-04-24,185.25,186.88,177.07,177.35,872429.0,158330202.0
2006-04-25,177.07,177.07,171.62,174.08,626252.0,109468957.0
2006-04-26,175.44,191.51,175.17,191.51,838614.0,158274098.0
2006-04-27,198.59,205.4,194.24,200.23,3151474.0,630296662.0
2006-04-28,209.49,220.39,197.78,214.67,2514430.0,523034642.0
2006-05-08,214.67,219.3,209.76,214.12,1511532.0,324025642.0
2006-05-09,214.67,231.56,208.67,228.56,1819129.0,394876733.0
2006-05-10,226.93,235.92,219.57,225.84,1532478.0,349094608.0
2006-05-11,224.75,238.37,221.75,226.65,1680559.0,390102775.0
2006-05-12,226.93,237.01,225.84,232.65,1378897.0,319976921.0
2006-05-15,231.83,237.01,226.93,235.1,1288688.0,297640092.0
2006-05-16,232.92,234.28,219.57,223.38,1294232.0,291836179.0
2006-05-17,223.66,230.74,220.66,224.2,973553.0,219569761.0
2006-05-18,224.47,224.75,214.94,220.66,854773.0,187545328.0
